ID,Продукт,Регион,по,Правообладатель,Новое назавание
19183140,TEKKEN 8 - Deluxe Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,TEKKEN 8 - Deluxe Edition EUR
19183142,JoJo's Bizarre Adventure: All-Star Battle R,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,JoJo's Bizarre Adventure: All-Star Battle R EUR
19183145,SD GUNDAM BATTLE ALLIANCE,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,SD GUNDAM BATTLE ALLIANCE EUR
19183146,Digimon Story Cyber Sleuth: Complete Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Digimon Story Cyber Sleuth: Complete Edition EUR
19183151,ACE COMBAT™ 7: SKIES UNKNOWN,EU,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,ACE COMBAT™ 7: SKIES UNKNOWN EU
19183155,JoJo's Bizarre Adventure: All-Star Battle R - Digital Deluxe Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,JoJo's Bizarre Adventure: All-Star Battle R - Digital Deluxe Edition EUR
19183157,SWORD ART ONLINE Alicization Lycoris,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,SWORD ART ONLINE Alicization Lycoris EUR
19183159,NARUTO X BORUTO Ultimate Ninja Storm Connections - Ultimate Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,NARUTO X BORUTO Ultimate Ninja Storm Connections - Ultimate Edition EUR
19183160,Little Nightmares II - Deluxe Edition,EU,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Little Nightmares II - Deluxe Edition EU
19183163,ONE PIECE World Seeker: Deluxe Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,ONE PIECE World Seeker: Deluxe Edition EUR
19183164,TEKKEN 7 - Originals Edition,EU,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,TEKKEN 7 - Originals Edition EU
19183168,CODE VEIN,EUR ,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,CODE VEIN EUR 
19183169,DRAGON BALL FighterZ - FighterZ Edition,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,DRAGON BALL FighterZ - FighterZ Edition EUR
19183173,DARK SOULS™ II Crown of the Sunken King,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,DARK SOULS™ II Crown of the Sunken King EUR
19183177,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition EUR
19183179,CODE VEIN - Deluxe Edition,EU,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,CODE VEIN - Deluxe Edition EU
19183180,NARUTO X BORUTO Ultimate Ninja Storm Connections - Deluxe Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,NARUTO X BORUTO Ultimate Ninja Storm Connections - Deluxe Edition EUR
19183183,Ni No Kuni II: Revenant Kingdom - The Prince's Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Ni No Kuni II: Revenant Kingdom - The Prince's Edition EUR
19183186,Little Nightmares II,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,Little Nightmares II EUR
19183188,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition EUR
