PRODUCTID,listing,catID,product
5ce132a22736e8638c3b0b7d,Death end reQuest,18052202,Death end re;Quest RU
66740310d517f137689b73fd,Deathless. The Hero Quest,19192873,Deathless. The Hero Quest CNY
5c9b600c2539a4e8f1730af8,Desperados: Wanted Dead or Alive,11487929,Desperados: Wanted Dead Or Alive RUB
5f9d48543a54d2ca1621cf91,Detroit: Become Human EU,19651047,Detroit: Become Human 
5c9b600d2539a4e8f1730bf6,Deus Ex: Human Revolution - Director's Cut,19174627,Deus Ex: Human Revolution - Director's Cut KR
5c9b67d02539a4e8f17a73e3,Deus Ex: Mankind Divided,19174580,Deus Ex: Mankind Divided KRW 
5c9b681a2539a4e8f17aac2b,Deus Ex: Mankind Divided - Season Pass DLC,19174584,Deus Ex: Mankind Divided - Season Pass KRW
67a229cfb4f874260920175a,Die in the Dungeon,19187144,Die in the Dungeon RUB
69ef451ffaa68a1cfc27fcf7,Directive 8020,19647657,Directive 8020 
5c9b5f272539a4e8f1725d3b,Disciples II: Gallean's Return,19636427,Disciples II: Gallean's Return 
5c9b5f912539a4e8f172ac67,Disciples II: Rise of the Elves,19636428,Disciples II: Rise of the Elves 
5c9b6c842539a4e8f17dae1c,Distrust,19178984,Distrust: Polar Survival RU
5c9b782d2539a4e8f184077b,Do Not Feed the Monkeys,19178985,Do Not Feed the Monkeys
6800d49afc4d86771c9ea382,Doloc Town,19188422,Doloc Town RUB
65e17c4dbc09b66b505c2ff0,Dragon Throne: Battle of Red Cliffs,19636431,Dragon Throne: Battle of Red Cliffs 
66bf153936c24953194e821f,Drawn to Life: Two Realms EU,19149789,Drawn to Life: Two Realms EUR
6620e2a1d101d2c07daee84d,Dying Light 2: Stay Human Reloaded Edition,19167883,Dying Light 2 Stay Human: Reloaded Edition EUR
687f21e8b4b0c807ec15dc2a,Dying Light: Definitive 10th Anniversary Edition EU,19185219,Dying Light: Definitive Edition PLN
5d2738c45fc105f80140c367,EARTH DEFENSE FORCE 5,19186984,EARTH DEFENSE FORCE 5 
66aca8b70425a0354518261f,EARTH DEFENSE FORCE 6,19187628,地球防卫军6 
69327ede76fe1300c8219102,ELDEN RING NIGHTREIGN - The Forsaken Hollows DLC EU,19622882,Elden Ring Nightreign: The Forsaken Hollows 
6214d4389e44a1f376859815,Elden Ring EU,19178565,ELDEN RING EU
694fa144fb92596aabd14c53,Escape from Ever After,19627032,Escape from Ever After 
69693bf104e3507260710a4e,Exotica 2: Pet Shop Simulator,19624143,Exotica 2: Pet Shop Simulator 
64e704df031c016a643ccb97,Fae Farm,19192003,Fae Farm RUB
69e1df207963b7a83508df09,Far Far West,19659490,Far Far West 
61bf4c9515aa7a0001d7a0de,Fly Corp,19148591,Fly Corp
631f3fefdc75b500017f6404,Food Truck Simulator,19192275,Food Truck Simulator 
603605e06b2e10ae87f03de1,For The King EU,19169447,For The King
66a4be2c0425a03545326b7e,Forza Horizon 5 - VIP Membership DLC Xbox Series X|S / PC CD Key,19631183,Forza Horizon 5: VIP Membership (Xbox)
69e624eb06c3446b8a375e6d,Forza Horizon 6 Premium Edition Xbox Series X|S / PC CD Key,19650600,Forza Horizon 6: Premium Edition 
69e627ec393ca53797657319,Forza Horizon 6 Xbox Series X|S / PC CD Key,19650601,Forza Horizon 6: Standard Edition 
5c9b67132539a4e8f179e8a9,GUILTY GEAR 2 -OVERTURE-,19168669,GUILTY GEAR 2 -OVERTURE- CNY
664b1462f81a1d0af4d76d7e,GUNDAM BREAKER 4 EU,19184778,GUNDAM BREAKER 4 EUR
692879afe76fd73ab368d25d,Geo-Political Simulator 2026 Edition,19622563,Geo-Political Simulator 2026 Edition 
5c9b67dc2539a4e8f17a7d34,Ghost of a Tale,16811742,Ghost of a Tale RUB
664e0669de75607e091ccdff,Gold Mining Simulator,19182633,Gold Mining Simulator EUR
5c9b5f722539a4e8f1729664,Gothic 3,11250606,Gothic III
5c9b5f7d2539a4e8f1729dcb,Gothic 3: Forsaken Gods Enhanced Edition,11165360,Gothic III: Forsaken Gods Enhanced Edition
5c9b60062539a4e8f1730507,Gothic II: Gold Edition,11250607,Gothic II: Gold Edition
5c9b60352539a4e8f1732eab,Gothic Universe Edition,11250605,Gothic Universe Edition
6802629459267740bba1d85a,Grand Theft Auto V Enhanced & Great White Shark Card EU PC Rockstar Games Digital Download CD Key,19631986,Grand Theft Auto V Enhanced & Great White Shark Card Bundle 
6821a7e1b1c3c2416661f17f,Grand Theft Auto V Enhanced EU PC Rockstar Digital Download CD Key,19631648,Grand Theft Auto V Enhanced CNY
66a3a0080636ba6cd8671359,Guilty Gear -Strive- - Season Pass 4 DLC,19187595,罪恶装备 -奋战- DLC季票4 
5c9b60202539a4e8f1731cba,Guilty Gear Isuka,19168673,Guilty Gear Isuka CNY
5c9b64382539a4e8f17684da,Guilty Gear XX Accent Core Plus R,19168670,GUILTY GEAR XX ACCENT CORE PLUS R CNY
690071748017494625620829,HENPRI,19192441,HENPRI 
5c9b643b2539a4e8f17686dc,Hatred,19152488,Hatred
5cf950f12736e8638cbc4b05,Hell Let Loose,19150134,Hell Let Loose
5c9b6f882539a4e8f17fa0d5,Heroes of Hammerwatch,19179153,Heroes of Hammerwatch 
67828176d6b1151c22f879a0,Heroes of Hammerwatch II,19191753,Heroes of Hammerwatch II EUR
69f052111d57ed0a45b61462,Heroes of Might and Magic: Olden Era EU,19650831,Heroes of Might and Magic: Olden Era 
5c9b639a2539a4e8f176058f,Homeworld Remastered Collection,19631817,Homeworld Remastered Collection CNY
5c9b665d2539a4e8f17938d1,Homeworld: Deserts of Kharak,19631741,Homeworld: Deserts of Kharak 
5c9b6df32539a4e8f17e8ccf,Human: Fall Flat EU,19169449,Human: Fall Flat EU
5c9b629d2539a4e8f174f148,IL-2 Sturmovik: Battle of Stalingrad,19615142,IL-2 Sturmovik: Battle of Stalingrad CNY
5c9b7a392539a4e8f1854ffd,Jets'n'Guns 2,19145061,Jets'n'Guns 2 
61cada639e44a1f376d738e8,Journey,19153242,Journey EU
672350754e55dd51216d2815,Karate Survivor,19185698,Karate Survivor RUB
65e8433ea7abc9c87ebf771f,KartKraft RoW,19192592,KartKraft™ CNY
68834139c6539c0bf4566814,Killing Floor 3 EU,19188470,Killing Floor 3 EUR
5c9b6f332539a4e8f17f712a,Kingdom Come: Deliverance EU,19182806,Kingdom Come: Deliverance Tier 1
67408b58b816f5d55eca193c,Kingdom Come: Deliverance II EU,19182814,Kingdom Come: Deliverance II / Tier 1
69168e8431c1740bfae109a2,Kingdom Come: Deliverance II Royal Edition EU,19192847,Kingdom Come: Deliverance II - Royal Edition
